"","int","plant","BR_code","date_time","avg_leaf_temp","env_temp","spore","rep","plant_name","ASSYST","dpi","mean_temp","diff_temp","lf_vs_env"
"1","1.30","1","BR7-01111","2015-8-5 00:00:00",19.91836,22.3,"1","1","OSR Cracker","Sheff-001","30",19.87023,0.0481300000000005,2.38164
"2","1.30","1","BR7-01112","2015-8-5 00:00:00",20.04784,22.3,"1","2","OSR Cracker","Sheff-001","30",19.87023,0.177610000000001,2.25216
"3","1.30","1","BR7-01113","2015-8-5 00:00:00",19.83152,22.3,"1","3","OSR Cracker","Sheff-001","30",19.87023,-0.0387099999999982,2.46848
"4","1.30","1","BR7-01114","2015-8-5 00:00:00",19.6832,22.3,"1","4","OSR Cracker","Sheff-001","30",19.87023,-0.18703,2.6168
"5","1.30","1","BR7-01121","2015-8-5 00:00:00",20.02428,22.3,"2","1","OSR Cracker","Sheff-001","30",19.87023,0.154050000000002,2.27572
"6","1.30","1","BR7-01122","2015-8-5 00:00:00",19.89512,22.3,"2","2","OSR Cracker","Sheff-001","30",19.87023,0.0248899999999992,2.40488
"7","1.30","1","BR7-01123","2015-8-5 00:00:00",20.09868,22.3,"2","3","OSR Cracker","Sheff-001","30",19.87023,0.228450000000002,2.20132
"8","1.30","1","BR7-01124","2015-8-5 00:00:00",19.90584,22.3,"2","4","OSR Cracker","Sheff-001","30",19.87023,0.0356100000000019,2.39416
"9","1.30","1","BR7-01131","2015-8-5 00:00:00",19.7372,22.3,"3","1","OSR Cracker","Sheff-001","30",19.87023,-0.133029999999998,2.5628
"10","1.30","1","BR7-01132","2015-8-5 00:00:00",19.97404,22.3,"3","2","OSR Cracker","Sheff-001","30",19.87023,0.103809999999999,2.32596
"11","1.30","1","BR7-01133","2015-8-5 00:00:00",20.23408,22.3,"3","3","OSR Cracker","Sheff-001","30",19.87023,0.363849999999999,2.06592
"12","1.30","1","BR7-01134","2015-8-5 00:00:00",20.24008,22.3,"3","4","OSR Cracker","Sheff-001","30",19.87023,0.36985,2.05992
"13","1.44","1","BR7-01122","2015-8-19 00:00:00",22.29208,21.8,"2","2","OSR Cracker","Sheff-001","44",21.78968,0.502399999999998,-0.492079999999998
"14","1.44","1","BR7-01123","2015-8-19 00:00:00",21.97504,21.8,"2","3","OSR Cracker","Sheff-001","44",21.78968,0.185359999999999,-0.175039999999999
"15","1.44","1","BR7-01124","2015-8-19 00:00:00",21.37288,21.8,"2","4","OSR Cracker","Sheff-001","44",21.78968,-0.416800000000002,0.427120000000002
"16","1.44","1","BR7-01131","2015-8-19 00:00:00",22.44564,21.8,"3","1","OSR Cracker","Sheff-001","44",21.78968,0.65596,-0.64564
"17","1.44","1","BR7-01132","2015-8-19 00:00:00",22.3638,21.8,"3","2","OSR Cracker","Sheff-001","44",21.78968,0.574120000000001,-0.563800000000001
"18","1.44","1","BR7-01133","2015-8-19 00:00:00",21.9398,21.8,"3","3","OSR Cracker","Sheff-001","44",21.78968,0.150120000000001,-0.139800000000001
"19","1.44","1","BR7-01134","2015-8-19 00:00:00",21.50152,21.8,"3","4","OSR Cracker","Sheff-001","44",21.78968,-0.288160000000001,0.298480000000001
"20","1.44","1","BR7-01114","2015-8-19 00:00:00",21.60592,21.8,"1","4","OSR Cracker","Sheff-001","44",21.78968,-0.183759999999999,0.19408
"21","1.44","1","BR7-01111","2015-8-19 00:00:00",21.66656,21.8,"1","1","OSR Cracker","Sheff-001","44",21.78968,-0.12312,0.13344
"22","1.44","1","BR7-01112","2015-8-19 00:00:00",22.334,21.8,"1","2","OSR Cracker","Sheff-001","44",21.78968,0.544319999999999,-0.533999999999999
"23","1.44","1","BR7-01113","2015-8-19 00:00:00",21.55224,21.8,"1","3","OSR Cracker","Sheff-001","44",21.78968,-0.237439999999999,0.24776
"24","1.44","1","BR7-01121","2015-8-19 00:00:00",22.27612,21.8,"2","1","OSR Cracker","Sheff-001","44",21.78968,0.486439999999998,-0.476119999999998
"25","1.51","1","BR7-01122","2015-8-26 00:00:00",23.05968,23.44733333,"2","2","OSR Cracker","Sheff-001","51",22.76579,0.293890000000001,0.387653329999999
"26","1.51","1","BR7-01134","2015-8-26 00:00:00",23.474,23.66722408,"3","4","OSR Cracker","Sheff-001","51",22.76579,0.708210000000001,0.19322408
"27","1.51","1","BR7-01114","2015-8-26 00:00:00",23.53728,23.63110368,"1","4","OSR Cracker","Sheff-001","51",22.76579,0.77149,0.0938236799999999
"28","1.51","1","BR7-01111","2015-8-26 00:00:00",21.70232,23.33,"1","1","OSR Cracker","Sheff-001","51",22.76579,-1.06347,1.62768
"29","1.51","1","BR7-01112","2015-8-26 00:00:00",23.26088,23.41133333,"1","2","OSR Cracker","Sheff-001","51",22.76579,0.495090000000001,0.150453330000001
"30","1.51","1","BR7-01113","2015-8-26 00:00:00",22.56268,23.492,"1","3","OSR Cracker","Sheff-001","51",22.76579,-0.203109999999999,0.929320000000001
"31","1.51","1","BR7-01124","2015-8-26 00:00:00",23.90864,23.68595318,"2","4","OSR Cracker","Sheff-001","51",22.76579,1.14285,-0.22268682
"32","1.51","1","BR7-01121","2015-8-26 00:00:00",23.13192,23.36266667,"2","1","OSR Cracker","Sheff-001","51",22.76579,0.366130000000002,0.230746669999998
"33","1.51","1","BR7-01132","2015-8-26 00:00:00",22.50048,23.432,"3","2","OSR Cracker","Sheff-001","51",22.76579,-0.265309999999999,0.931519999999999
"34","1.51","1","BR7-01123","2015-8-26 00:00:00",23.83152,23.54414716,"2","3","OSR Cracker","Sheff-001","51",22.76579,1.06573,-0.28737284
"35","1.51","1","BR7-01131","2015-8-26 00:00:00",23.2856,23.35333333,"3","1","OSR Cracker","Sheff-001","51",22.76579,0.51981,0.0677333300000029
"36","1.51","1","BR7-01133","2015-8-26 00:00:00",22.90216,23.52675585,"3","3","OSR Cracker","Sheff-001","51",22.76579,0.136369999999999,0.624595850000002
"37","2.30","2","BR7-02112","2015-8-5 00:00:00",20.1384,22.3,"1","2","OSR Temple","Sheff-002","30",20.21808,-0.0796799999999998,2.1616
"38","2.30","2","BR7-02124","2015-8-5 00:00:00",19.82056,22.3,"2","4","OSR Temple","Sheff-002","30",20.21808,-0.39752,2.47944
"39","2.30","2","BR7-02111","2015-8-5 00:00:00",20.40548,22.3,"1","1","OSR Temple","Sheff-002","30",20.21808,0.1874,1.89452
"40","2.30","2","BR7-02122","2015-8-5 00:00:00",19.8228,22.3,"2","2","OSR Temple","Sheff-002","30",20.21808,-0.39528,2.4772
"41","2.30","2","BR7-02113","2015-8-5 00:00:00",20.00864,22.3,"1","3","OSR Temple","Sheff-002","30",20.21808,-0.209440000000001,2.29136
"42","2.30","2","BR7-02114","2015-8-5 00:00:00",20.3198,22.3,"1","4","OSR Temple","Sheff-002","30",20.21808,0.10172,1.9802
"43","2.30","2","BR7-02121","2015-8-5 00:00:00",20.29468,22.3,"2","1","OSR Temple","Sheff-002","30",20.21808,0.0765999999999991,2.00532
"44","2.30","2","BR7-02131","2015-8-5 00:00:00",20.23788,22.3,"3","1","OSR Temple","Sheff-002","30",20.21808,0.0198,2.06212
"45","2.30","2","BR7-02123","2015-8-5 00:00:00",19.89284,22.3,"2","3","OSR Temple","Sheff-002","30",20.21808,-0.325240000000001,2.40716
"46","2.30","2","BR7-02133","2015-8-5 00:00:00",19.98208,22.3,"3","3","OSR Temple","Sheff-002","30",20.21808,-0.236000000000001,2.31792
"47","2.30","2","BR7-02134","2015-8-5 00:00:00",19.9316,22.3,"3","4","OSR Temple","Sheff-002","30",20.21808,-0.286480000000001,2.3684
"48","2.30","2","BR7-02132","2015-8-5 00:00:00",19.826,22.3,"3","2","OSR Temple","Sheff-002","30",20.21808,-0.39208,2.474
"49","2.44","2","BR7-02124","2015-8-19 00:00:00",22.3418,21.8,"2","4","OSR Temple","Sheff-002","44",21.62323,0.71857,-0.541799999999999
"50","2.44","2","BR7-02111","2015-8-19 00:00:00",22.00008,21.8,"1","1","OSR Temple","Sheff-002","44",21.62323,0.376850000000001,-0.20008
"51","2.44","2","BR7-02112","2015-8-19 00:00:00",21.66512,21.8,"1","2","OSR Temple","Sheff-002","44",21.62323,0.0418900000000022,0.134879999999999
"52","2.44","2","BR7-02123","2015-8-19 00:00:00",21.32656,21.8,"2","3","OSR Temple","Sheff-002","44",21.62323,-0.296669999999999,0.47344
"53","2.44","2","BR7-02133","2015-8-19 00:00:00",21.23,21.8,"3","3","OSR Temple","Sheff-002","44",21.62323,-0.393229999999999,0.57
"54","2.44","2","BR7-02134","2015-8-19 00:00:00",21.53356,21.8,"3","4","OSR Temple","Sheff-002","44",21.62323,-0.0896699999999981,0.266439999999999
"55","2.44","2","BR7-02131","2015-8-19 00:00:00",21.39924,21.8,"3","1","OSR Temple","Sheff-002","44",21.62323,-0.223990000000001,0.400760000000002
"56","2.44","2","BR7-02132","2015-8-19 00:00:00",21.8926,21.8,"3","2","OSR Temple","Sheff-002","44",21.62323,0.269370000000002,-0.0926000000000009
"57","2.44","2","BR7-02113","2015-8-19 00:00:00",21.34996,21.8,"1","3","OSR Temple","Sheff-002","44",21.62323,-0.27327,0.450040000000001
"58","2.44","2","BR7-02114","2015-8-19 00:00:00",21.47776,21.8,"1","4","OSR Temple","Sheff-002","44",21.62323,-0.14547,0.322240000000001
"59","2.44","2","BR7-02121","2015-8-19 00:00:00",21.41428,21.8,"2","1","OSR Temple","Sheff-002","44",21.62323,-0.208949999999998,0.385719999999999
"60","2.44","2","BR7-02122","2015-8-19 00:00:00",21.48692,21.8,"2","2","OSR Temple","Sheff-002","44",21.62323,-0.136309999999998,0.313079999999999
"61","2.51","2","BR7-02121","2015-8-26 00:00:00",22.77052,23.40133333,"2","1","OSR Temple","Sheff-002","51",22.7329,0.0376200000000004,0.630813329999999
"62","2.51","2","BR7-02122","2015-8-26 00:00:00",22.64384,23.48066667,"2","2","OSR Temple","Sheff-002","51",22.7329,-0.0890599999999999,0.836826670000001
"63","2.51","2","BR7-02123","2015-8-26 00:00:00",23.88008,23.61237458,"2","3","OSR Temple","Sheff-002","51",22.7329,1.14718,-0.267705419999999
"64","2.51","2","BR7-02124","2015-8-26 00:00:00",23.21324,23.75016722,"2","4","OSR Temple","Sheff-002","51",22.7329,0.480339999999998,0.536927220000003
"65","2.51","2","BR7-02134","2015-8-26 00:00:00",23.56268,23.72073579,"3","4","OSR Temple","Sheff-002","51",22.7329,0.82978,0.158055789999999
"66","2.51","2","BR7-02111","2015-8-26 00:00:00",23.00328,23.39133333,"1","1","OSR Temple","Sheff-002","51",22.7329,0.270379999999999,0.388053329999998
"67","2.51","2","BR7-02112","2015-8-26 00:00:00",22.24332,23.47066667,"1","2","OSR Temple","Sheff-002","51",22.7329,-0.48958,1.22734667
"68","2.51","2","BR7-02113","2015-8-26 00:00:00",23.10052,23.59230769,"1","3","OSR Temple","Sheff-002","51",22.7329,0.367619999999999,0.491787689999999
"69","2.51","2","BR7-02114","2015-8-26 00:00:00",22.58448,23.73010033,"1","4","OSR Temple","Sheff-002","51",22.7329,-0.148420000000002,1.14562033
"70","2.51","2","BR7-02131","2015-8-26 00:00:00",22.53892,23.38733333,"3","1","OSR Temple","Sheff-002","51",22.7329,-0.19398,0.84841333
"71","2.51","2","BR7-02132","2015-8-26 00:00:00",23.1442,23.466,"3","2","OSR Temple","Sheff-002","51",22.7329,0.411300000000001,0.3218
"72","2.51","2","BR7-02133","2015-8-26 00:00:00",22.9858,23.58428094,"3","3","OSR Temple","Sheff-002","51",22.7329,0.2529,0.598480939999998
"73","3.30","3","BR7-03112","2015-8-5 00:00:00",20.06824,22.3,"1","2","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,-0.18561,2.23176
"74","3.30","3","BR7-03132","2015-8-5 00:00:00",20.949,22.3,"3","2","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,0.695150000000002,1.351
"75","3.30","3","BR7-03113","2015-8-5 00:00:00",20.07436,22.3,"1","3","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,-0.179490000000001,2.22564
"76","3.30","3","BR7-03124","2015-8-5 00:00:00",20.54664,22.3,"2","4","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,0.29279,1.75336
"77","3.30","3","BR7-03131","2015-8-5 00:00:00",20.54356,22.3,"3","1","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,0.289709999999999,1.75644
"78","3.30","3","BR7-03111","2015-8-5 00:00:00",20.39556,22.3,"1","1","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,0.14171,1.90444
"79","3.30","3","BR7-03122","2015-8-5 00:00:00",20.44112,22.3,"2","2","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,0.187270000000002,1.85888
"80","3.30","3","BR7-03123","2015-8-5 00:00:00",21.3676,22.3,"2","3","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,1.11375,0.932400000000001
"81","3.30","3","BR7-03114","2015-8-5 00:00:00",20.47724,22.3,"1","4","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,0.223389999999998,1.82276
"82","3.30","3","BR7-03121","2015-8-5 00:00:00",20.9118,22.3,"2","1","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,0.65795,1.3882
"83","3.30","3","BR7-03133","2015-8-5 00:00:00",20.21188,22.3,"3","3","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,-0.0419699999999992,2.08812
"84","3.30","3","BR7-03134","2015-8-5 00:00:00",20.30432,22.3,"3","4","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,0.0504700000000007,1.99568
"85","3.44","3","BR7-03124","2015-8-19 00:00:00",22.2136,21.8,"2","4","Chinese cabbage Wong Bok","Sheff-003","44",21.65382,0.55978,-0.413599999999999
"86","3.44","3","BR7-03112","2015-8-19 00:00:00",21.647,21.8,"1","2","Chinese cabbage Wong Bok","Sheff-003","44",21.65382,-0.00682000000000116,0.153000000000002
"87","3.44","3","BR7-03113","2015-8-19 00:00:00",21.7704,21.8,"1","3","Chinese cabbage Wong Bok","Sheff-003","44",21.65382,0.116579999999999,0.0296000000000021
"88","3.44","3","BR7-03131","2015-8-19 00:00:00",22.62356,21.8,"3","1","Chinese cabbage Wong Bok","Sheff-003","44",21.65382,0.969740000000002,-0.823560000000001
"89","3.44","3","BR7-03111","2015-8-19 00:00:00",21.59992,21.8,"1","1","Chinese cabbage Wong Bok","Sheff-003","44",21.65382,-0.0538999999999987,0.20008
"90","3.44","3","BR7-03122","2015-8-19 00:00:00",21.50296,21.8,"2","2","Chinese cabbage Wong Bok","Sheff-003","44",21.65382,-0.150859999999998,0.297039999999999
"91","3.44","3","BR7-03123","2015-8-19 00:00:00",21.59728,21.8,"2","3","Chinese cabbage Wong Bok","Sheff-003","44",21.65382,-0.0565399999999983,0.202719999999999
